week,region,price,log_price,price_change
2003-05-26,"Boston, MA",1.555,0.4414755456311974,
2003-06-02,"Boston, MA",1.547,0.43631757159092904,-0.005157974040268354
2003-06-09,"Boston, MA",1.534,0.42787870294506447,-0.008438868645864572
2003-06-16,"Boston, MA",1.549,0.4376095614347315,0.009730858489667038
2003-06-23,"Boston, MA",1.544,0.4343764516025845,-0.0032331098321470297
2003-06-30,"Boston, MA",1.536,0.42918163472548043,-0.005194816877104047
2003-07-07,"Boston, MA",1.538,0.43048287108345223,0.0013012363579718023
2003-07-14,"Boston, MA",1.557,0.44276089285186127,0.012278021768409031
2003-07-21,"Boston, MA",1.573,0.45298462407614076,0.010223731224279498
2003-07-28,"Boston, MA",1.568,0.44980092192821614,-0.0031837021479246275
2003-08-04,"Boston, MA",1.58,0.4574248470388755,0.007623925110659346
2003-08-11,"Boston, MA",1.608,0.47499117075677466,0.01756632371789918
2003-08-18,"Boston, MA",1.63,0.4885800148186709,0.013588844061896255
2003-08-25,"Boston, MA",1.794,0.5844477636366044,0.09586774881793353
2003-09-01,"Boston, MA",1.846,0.6130211360806604,0.028573372444056
2003-09-08,"Boston, MA",1.83,0.6043159668533296,-0.008705169227330889
2003-09-15,"Boston, MA",1.822,0.5999347988377666,-0.004381168015562986
2003-09-22,"Boston, MA",1.803,0.5894519442211802,-0.010482854616586379
2003-09-29,"Boston, MA",1.771,0.5715443588006964,-0.017907585420483763
2003-10-06,"Boston, MA",1.746,0.5573274574174104,-0.014216901383286018
2003-10-13,"Boston, MA",1.735,0.5510074133988225,-0.006320044018587878
2003-10-20,"Boston, MA",1.721,0.5429055172294024,-0.008101896169420142
2003-10-27,"Boston, MA",1.687,0.5229518035638313,-0.019953713665571082
2003-11-03,"Boston, MA",1.655,0.5038010088290262,-0.019150794734805077
2003-11-10,"Boston, MA",1.62,0.4824261492442928,-0.021374859584733452
2003-11-17,"Boston, MA",1.586,0.4612151232126563,-0.021211026031636493
2003-11-24,"Boston, MA",1.587,0.461845441544272,0.000630318331615698
2003-12-01,"Boston, MA",1.577,0.4555243079809013,-0.006321133563370662
2003-12-08,"Boston, MA",1.559,0.44404459007563946,-0.011479717905261866
2003-12-15,"Boston, MA",1.552,0.43954442176102704,-0.004500168314612418
